"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"20","""thought it would be hypocritical to attend Bush's swearing-in....he doesn't believe Bush is the true elected president."" Sound familiar! WP",FALSE,61599,NA,2017-01-17 14:52:39,FALSE,NA,"821369651968012288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",13986,FALSE,FALSE,NA,NA
"21","John Lewis said about my inauguration, ""It will be the first one that I've missed."" WRONG (or lie)! He boycotted Bush 43 also because he...",FALSE,64361,NA,2017-01-17 14:46:27,FALSE,NA,"821368088935432196",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",16259,FALSE,FALSE,NA,NA
"22","country and with the massive cost reductions I have negotiated on military purchases and more, I believe the people are seeing ""big stuff.""",FALSE,53871,NA,2017-01-17 14:36:26,FALSE,NA,"821365569366671360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",10389,FALSE,FALSE,NA,NA
"23","With all of the jobs I am bringing back into the U.S. (even before taking office), with all of the new auto plants coming back into our.....",FALSE,56460,NA,2017-01-17 14:30:19,FALSE,NA,"821364027506966532",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",10930,FALSE,FALSE,NA,NA
"24","The same people who did the phony election polls, and were so wrong, are now doing approval rating polls. They are rigged just like before.",FALSE,103504,NA,2017-01-17 13:11:56,FALSE,NA,"821344302651555840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",24374,FALSE,FALSE,NA,NA
"25","People are pouring into Washington in record numbers. Bikers for Trump are on their way. It will be a great Thursday, Friday and Saturday!",FALSE,118689,NA,2017-01-17 13:05:10,FALSE,NA,"821342600322043905",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",25210,FALSE,FALSE,NA,NA
"26","""@drgoodspine: @realDonaldTrump @Ivanka Trump is great, a woman with real character and class.""",FALSE,45139,NA,2017-01-17 02:08:21,FALSE,NA,"821177307708661761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",8134,FALSE,FALSE,NA,NA
"27","At 9:00 P.M. @CNN, of all places, is doing a Special Report on my daughter, Ivanka. Considering it is CNN, can't imagine it will be great!",FALSE,56861,NA,2017-01-17 01:49:38,FALSE,NA,"821172595869577220",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",11633,FALSE,FALSE,NA,NA
"28","""@levisteveholt: @realDonaldTrump I appreciate your use of Twitter to keep us informed and maintain transparency."" Very dishonest media!",FALSE,59463,NA,2017-01-17 01:42:18,FALSE,NA,"821170750983995392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",12498,FALSE,FALSE,NA,NA
"29","Celebrate Martin Luther King Day and all of the many wonderful things that he stood for. Honor him for being the great man that he was!",FALSE,160979,NA,2017-01-16 13:54:52,FALSE,NA,"820992721120854016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",38689,FALSE,FALSE,NA,NA
"30","much worse - just look at Syria (red line), Crimea, Ukraine and the build-up of Russian nukes. Not good! Was this the leaker of Fake News?",FALSE,58332,NA,2017-01-16 00:29:05,FALSE,NA,"820789938887294977",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",14182,FALSE,FALSE,NA,NA
"31",".@FoxNews ""Outgoing CIA Chief, John Brennan, blasts Pres-Elect Trump on Russia threat. Does not fully understand."" Oh really, couldn't do...",FALSE,44600,NA,2017-01-16 00:16:20,FALSE,NA,"820786730257285120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",11562,FALSE,FALSE,NA,NA
"32",".@NBCNews is bad but Saturday Night Live is the worst of NBC. Not funny, cast is terrible, always a complete hit job. Really bad television!",FALSE,84287,NA,2017-01-15 22:46:33,FALSE,NA,"820764134857969666",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",19092,FALSE,FALSE,NA,NA
